device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
9052,133.6 x 67.8 x 9.5,133.6,67.8,9.5,5.26 x 2.67 x 0.37,5.26,2.67,0.37,131.0,4.62
8513,143.5 x 71.3 x 9.3,143.5,71.3,9.3,5.65 x 2.81 x 0.37,5.65,2.81,0.37,161.0,5.68
8907,141.2 x 71.5 x 7.9,141.2,71.5,7.9,5.56 x 2.81 x 0.31,5.56,2.81,0.31,153.0,5.4
8522,151.5 x 73.7 x 7.9,151.5,73.7,7.9,5.96 x 2.90 x 0.31,5.96,2.9,0.31,160.0,5.64
8572,143.4 x 71.4 x 8.5,143.4,71.4,8.5,5.65 x 2.81 x 0.33,5.65,2.81,0.33,140.0,4.94
8571,149.7 x 72.5 x 8,149.7,72.5,8.0,5.89 x 2.85 x 0.31,5.89,2.85,0.31,160.0,5.64
6885,154 x 75.8 x 7.9,154.0,75.8,7.9,6.06 x 2.98 x 0.31,6.06,2.98,0.31,169.0,5.96
6877,129.5 x 66.7 x 9.2,129.5,66.7,9.2,5.10 x 2.63 x 0.36,5.1,2.63,0.36,136.0,4.8
6814,200.7 x 138.6 x 6.9,200.7,138.6,6.9,7.90 x 5.46 x 0.27,7.9,5.46,0.27,318.0,11.22
6640,134.7 x 68.5 x 8.7,134.7,68.5,8.7,5.30 x 2.70 x 0.34,5.3,2.7,0.34,130.0,4.59
6639,134.7 x 68.5 x 8.9,134.7,68.5,8.9,5.30 x 2.70 x 0.35,5.3,2.7,0.35,134.0,4.73
6638,139.4 x 70.7 x 8.5,139.4,70.7,8.5,5.49 x 2.78 x 0.33,5.49,2.78,0.33,150.0,5.29
6524,119.7 x 62.3 x 11.7,119.7,62.3,11.7,4.71 x 2.45 x 0.46,4.71,2.45,0.46,129.0,4.55
6523,119.7 x 62.3 x 11.7,119.7,62.3,11.7,4.71 x 2.45 x 0.46,4.71,2.45,0.46,129.0,4.55
6383,121.7 x 68.3 x 11.1,121.7,68.3,11.1,4.79 x 2.69 x 0.44,4.79,2.69,0.44,150.0,5.29
6227,137 x 71 x 9.8,137.0,71.0,9.8,5.39 x 2.80 x 0.39,5.39,2.8,0.39,167.0,5.89
6254,129.5 x 66.7 x 9.2,129.5,66.7,9.2,5.10 x 2.63 x 0.36,5.1,2.63,0.36,134.0,4.73
6255,129.5 x 66.7 x 9.2,129.5,66.7,9.2,5.10 x 2.63 x 0.36,5.1,2.63,0.36,134.0,4.73
6232,129.5 x 66.7 x 9.2,129.5,66.7,9.2,5.10 x 2.63 x 0.36,5.1,2.63,0.36,134.0,4.73
